flow_cell_id,position_id,sample_id,experiment_id,flow_cell_product_code,kit,alias,type,barcode
FBD16688,MN33275,20251023_CPI_LMO_20ng,CPI_LMO_20ng,FLO-MIN114,SQK-NBD114-96,M,,barcode74
FBD16688,MN33275,20251023_CPI_LMO_20ng,CPI_LMO_20ng,FLO-MIN114,SQK-NBD114-96,P,,barcode77
FBD16688,MN33275,20251023_CPI_LMO_20ng,CPI_LMO_20ng,FLO-MIN114,SQK-NBD114-96,I,,barcode78
FBD16688,MN33275,20251023_CPI_LMO_20ng,CPI_LMO_20ng,FLO-MIN114,SQK-NBD114-96,L,,barcode73
FBD16688,MN33275,20251023_CPI_LMO_20ng,CPI_LMO_20ng,FLO-MIN114,SQK-NBD114-96,C,,barcode76
FBD16688,MN33275,20251023_CPI_LMO_20ng,CPI_LMO_20ng,FLO-MIN114,SQK-NBD114-96,O,,barcode75
