flow_cell_id,position_id,sample_id,experiment_id,flow_cell_product_code,kit,alias,type,barcode
BAF451,MN33275,20251029_LMI_CPO_3ng,LMI_CPO_3ng,FLO-FLG114,SQK-NBD114-96,M,,barcode42
BAF451,MN33275,20251029_LMI_CPO_3ng,LMI_CPO_3ng,FLO-FLG114,SQK-NBD114-96,P,,barcode45
BAF451,MN33275,20251029_LMI_CPO_3ng,LMI_CPO_3ng,FLO-FLG114,SQK-NBD114-96,I,,barcode43
BAF451,MN33275,20251029_LMI_CPO_3ng,LMI_CPO_3ng,FLO-FLG114,SQK-NBD114-96,L,,barcode41
BAF451,MN33275,20251029_LMI_CPO_3ng,LMI_CPO_3ng,FLO-FLG114,SQK-NBD114-96,C,,barcode44
BAF451,MN33275,20251029_LMI_CPO_3ng,LMI_CPO_3ng,FLO-FLG114,SQK-NBD114-96,O,,barcode46
