flow_cell_id,position_id,sample_id,experiment_id,flow_cell_product_code,kit,alias,type,barcode
BAE018,MN33275,20251019_LCI_PMO_3ng,LCI_PMO_3ng,FLO-FLG114,SQK-NBD114-96,M,,barcode37
BAE018,MN33275,20251019_LCI_PMO_3ng,LCI_PMO_3ng,FLO-FLG114,SQK-NBD114-96,P,,barcode36
BAE018,MN33275,20251019_LCI_PMO_3ng,LCI_PMO_3ng,FLO-FLG114,SQK-NBD114-96,I,,barcode35
BAE018,MN33275,20251019_LCI_PMO_3ng,LCI_PMO_3ng,FLO-FLG114,SQK-NBD114-96,L,,barcode33
BAE018,MN33275,20251019_LCI_PMO_3ng,LCI_PMO_3ng,FLO-FLG114,SQK-NBD114-96,C,,barcode34
BAE018,MN33275,20251019_LCI_PMO_3ng,LCI_PMO_3ng,FLO-FLG114,SQK-NBD114-96,O,,barcode38
