flow_cell_id,position_id,sample_id,experiment_id,flow_cell_product_code,kit,alias,type,barcode
FBD11766,MN33275,20251026_PMI_LCO_20ng,PMI_LCO_20ng,FLO-MIN114,SQK-NBD114-96,M,,barcode82
FBD11766,MN33275,20251026_PMI_LCO_20ng,PMI_LCO_20ng,FLO-MIN114,SQK-NBD114-96,P,,barcode83
FBD11766,MN33275,20251026_PMI_LCO_20ng,PMI_LCO_20ng,FLO-MIN114,SQK-NBD114-96,I,,barcode84
FBD11766,MN33275,20251026_PMI_LCO_20ng,PMI_LCO_20ng,FLO-MIN114,SQK-NBD114-96,L,,barcode86
FBD11766,MN33275,20251026_PMI_LCO_20ng,PMI_LCO_20ng,FLO-MIN114,SQK-NBD114-96,C,,barcode85
FBD11766,MN33275,20251026_PMI_LCO_20ng,PMI_LCO_20ng,FLO-MIN114,SQK-NBD114-96,O,,barcode87
