flow_cell_id,position_id,sample_id,experiment_id,flow_cell_product_code,kit,alias,type,barcode
FBD19880,MN33275,20251020_MLI_PCO_20ng,MLI_PCO_20ng,FLO-MIN114,SQK-NBD114-96,M,,barcode25
FBD19880,MN33275,20251020_MLI_PCO_20ng,MLI_PCO_20ng,FLO-MIN114,SQK-NBD114-96,P,,barcode28
FBD19880,MN33275,20251020_MLI_PCO_20ng,MLI_PCO_20ng,FLO-MIN114,SQK-NBD114-96,I,,barcode27
FBD19880,MN33275,20251020_MLI_PCO_20ng,MLI_PCO_20ng,FLO-MIN114,SQK-NBD114-96,L,,barcode26
FBD19880,MN33275,20251020_MLI_PCO_20ng,MLI_PCO_20ng,FLO-MIN114,SQK-NBD114-96,C,,barcode29
FBD19880,MN33275,20251020_MLI_PCO_20ng,MLI_PCO_20ng,FLO-MIN114,SQK-NBD114-96,O,,barcode30
